id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0100100	887	395	536	1134	1543	920	335	417	825	423	1210
PCHAS_0100200	48	32	36	73	42	31	29	27	37	24	22
PCHAS_0100300	35	21	21	33	14	9	16	11	12	12	6
PCHAS_0100400	71	34	49	99	64	54	41	47	64	20	32
PCHAS_0100500	224	114	147	251	307	1983	495	876	2298	668	3656
PCHAS_0100600	136	51	35	106	65	101	104	47	54	43	58
PCHAS_0100651	22	11	1	13	11	8	4	4	0	0	0
PCHAS_0100700	261	169	161	241	358	176	100	139	195	94	184
PCHAS_0100800	74	50	30	132	58	31	55	31	30	22	22
PCHAS_0100900	1967	1440	1190	2528	1835	973	794	537	872	603	794
PCHAS_0101000	1208	947	551	1420	830	579	671	450	654	289	484
PCHAS_0101100	585	193	210	607	861	536	158	194	276	340	458
PCHAS_0101200	13432	10562	7144	17846	8814	8184	5976	4749	6835	4148	6192
PCHAS_0101300	45321	41741	17766	61362	24439	34348	24579	21828	26573	16138	22883
PCHAS_0101400	27169	21421	24919	42641	25978	15561	13836	10512	21552	6807	17064
PCHAS_0101500	1738	1252	797	2465	1118	796	797	563	841	434	595
PCHAS_0101600	1728	1226	797	2311	1339	1017	1218	862	1479	538	966
PCHAS_0101700	442	475	292	655	250	157	236	134	289	97	155
PCHAS_0101800	58	34	18	57	38	19	8	11	10	12	12
PCHAS_0101900	1116	891	480	1547	768	607	799	543	870	359	455
PCHAS_0102000	885	721	483	1035	450	285	402	300	414	203	252
PCHAS_0102100	4789	2865	1567	5501	2761	2426	2713	1910	2611	1491	1844
PCHAS_0102200	213	108	60	279	100	23	44	21	51	6	40
PCHAS_0102300	210	188	142	311	170	166	116	83	187	65	125
PCHAS_0102400	2242	1265	784	2514	1268	1458	1138	955	1287	809	1048
PCHAS_0102500	3007	1865	1090	3440	1568	1233	990	910	1051	770	944
PCHAS_0102600	2140	1732	889	2800	1261	1470	1296	1037	1426	861	1105
PCHAS_0102700	1062	855	370	1210	505	347	536	329	554	198	277
PCHAS_0102800	2200	1709	796	2580	1245	899	800	586	946	494	706
PCHAS_0102900	1781	1100	610	2000	1186	858	944	645	1030	465	720
PCHAS_0103000	3679	3498	2097	4700	2209	1844	2031	1381	2017	1006	1340
PCHAS_0103100	321	232	93	344	147	51	35	27	60	30	36
PCHAS_0103200	894	605	350	1070	460	285	364	276	419	200	243
PCHAS_0103300	3690	1228	967	3731	2567	3702	2171	2113	2320	1908	2437
PCHAS_0103400	160	113	66	225	95	19	13	23	25	22	17
PCHAS_0103500	678	456	312	901	344	232	300	172	363	127	189
PCHAS_0103600	8075	3727	2180	7984	5339	9528	5035	4844	5353	6029	5504
PCHAS_0103700	169	218	77	258	92	62	66	43	55	20	42
PCHAS_0103800	1178	888	468	1500	730	578	813	466	780	325	385
PCHAS_0103900	242	186	39	367	119	71	13	13	51	51	29
PCHAS_0104000	5299	3050	2008	6509	4301	3253	4247	2806	4652	1784	2978
PCHAS_0104100	2453	2386	1274	2872	1294	919	1281	897	1359	487	706
PCHAS_0104200	257	142	138	296	129	79	71	55	132	49	93
PCHAS_0104300	198	221	67	217	87	46	60	35	100	53	52
PCHAS_0104400	751	665	198	905	296	191	228	139	261	83	152
PCHAS_0104500	7649	5281	2823	9146	4524	4525	3342	2615	3374	2115	3013
PCHAS_0104600	1338	1020	883	1703	725	763	658	541	652	396	500
PCHAS_0104700	1126	997	699	1512	734	935	804	626	856	535	662
PCHAS_0104800	413	282	170	532	278	137	160	147	286	113	129
PCHAS_0104900	950	738	384	1135	619	509	595	442	609	336	359
PCHAS_0105000	254	137	89	369	216	73	20	30	76	65	53
PCHAS_0105100	214	143	43	337	131	40	18	25	44	44	49
PCHAS_0105200	1406	1029	598	1993	1036	682	918	565	997	349	480
PCHAS_0105300	219	162	54	330	114	32	30	14	22	23	13
PCHAS_0105400	1473	784	648	1900	1438	754	666	486	905	380	874
PCHAS_0105500	1699	1287	684	2240	1101	700	992	588	989	402	518
PCHAS_0105600	645	589	471	871	454	274	281	236	363	157	247
PCHAS_0105700	522	348	82	872	312	80	40	32	83	69	91
PCHAS_0105800	1080	828	589	1410	587	538	680	433	751	276	395
PCHAS_0105900	5223	3682	2182	6974	3324	2133	2710	1688	3025	1104	1930
PCHAS_0106000	20684	12654	7784	25538	12902	11519	13923	9128	13240	6141	8744
PCHAS_0106100	369	449	215	588	234	146	192	113	231	65	151
PCHAS_0106200	1021	886	1081	1286	544	676	850	535	954	434	638
PCHAS_0106300	17	10	3	17	0	2	5	0	1	0	2
PCHAS_0106400	558	351	128	772	334	121	116	78	188	108	113
PCHAS_0106500	84	50	53	111	53	8	35	27	33	11	8
PCHAS_0106600	2339	2211	1403	3270	1357	1847	1866	1341	1722	1058	1262
PCHAS_0106700	480	365	223	624	290	152	272	169	275	89	152
PCHAS_0106800	387	209	118	522	262	94	77	40	102	60	61
PCHAS_0106900	17887	11939	7751	23306	12787	14986	12674	9534	12472	8070	10638
PCHAS_0107000	346	302	152	526	199	116	114	84	127	60	104
PCHAS_0107100	980	583	340	1215	557	310	476	289	518	187	272
PCHAS_0107200	231	247	197	359	140	67	101	62	146	39	60
PCHAS_0107300	1048	779	661	1412	669	567	733	475	778	311	515
PCHAS_0107400	145	158	77	231	87	24	66	49	89	25	20
PCHAS_0107500	1079	801	549	1680	678	239	395	318	451	145	299
PCHAS_0107550	1667	1158	561	1684	882	597	664	464	622	315	419
PCHAS_0107600	1079	956	375	1230	554	514	461	317	410	189	338
PCHAS_0107700	4563	4789	2418	6311	2569	1906	2337	1559	2492	950	1396
PCHAS_0107800	221	187	81	256	102	34	30	19	30	7	21
PCHAS_0107900	4059	3261	1833	5455	2348	1155	1598	1086	1746	690	1095
PCHAS_0108000	17523	18060	10555	23519	9265	9355	12347	7655	12312	4579	7513
PCHAS_0108100	1918	1331	660	2230	1087	585	759	557	732	339	496
PCHAS_0108200	25769	16778	10778	34243	17474	27437	27182	20274	25890	14251	20187
PCHAS_0108300	1289	1238	846	1758	816	558	703	447	681	236	458
PCHAS_0108400	291	217	149	318	149	107	109	83	110	82	102
PCHAS_0108500	1711	1049	598	2019	1037	1361	1054	889	1158	735	969
PCHAS_0108600	258	147	167	386	221	64	85	67	150	36	89
