id	BTCB.1	BTCB.2	BTCB.3	BTCB.4	BTCB.5	BTCB.6	MTCB.1	MTCB.2	MTCB.3	MTCB.4	MTCB.5	MTCB.6
PCHCB_0100050	107	70	95	98	111	130	122	35	30	225	106	125
PCHCB_0100100	472	1165	992	467	1613	1828	1420	708	279	359	253	814
PCHCB_0100300	31	33	23	12	30	17	49	6	1	52	41	54
PCHCB_0100400	38	27	27	32	18	11	28	8	12	30	26	29
PCHCB_0100500	32	82	60	36	125	135	1733	773	223	358	258	1145
PCHCB_0100600	36	31	33	59	24	28	40	28	17	20	37	28
PCHCB_0100651	0	0	0	0	1	0	0	1	0	3	0	0
PCHCB_0100750	83	195	421	139	415	355	252	156	144	153	70	205
PCHCB_0100800	37	58	78	42	54	74	93	29	27	30	30	52
PCHCB_0100900	749	947	1491	595	1125	1167	1463	940	696	1269	670	1242
PCHCB_0101000	1232	1103	1794	1214	1330	1389	1003	479	656	1699	732	1198
PCHCB_0101100	250	420	451	246	378	523	903	358	263	260	173	407
PCHCB_0101200	8911	8267	11806	9117	7250	8113	8168	4092	3833	8828	5456	8318
PCHCB_0101300	38624	33188	42945	39906	22996	27579	33453	15213	10400	28041	18653	30031
PCHCB_0101400	19151	25347	34138	17627	36775	31310	19224	13056	12321	23802	12178	23880
PCHCB_0101500	1158	1090	1564	1180	1103	1142	1040	627	678	1642	974	1231
PCHCB_0101600	1256	1180	2003	1240	1653	1307	946	550	604	1192	850	1003
PCHCB_0101700	241	263	574	220	463	355	230	240	305	467	225	374
PCHCB_0101800	25	12	28	14	19	17	26	11	17	30	13	16
PCHCB_0101900	837	740	1504	759	846	661	559	348	520	1008	624	663
PCHCB_0102000	448	406	774	362	519	438	369	302	452	845	420	596
PCHCB_0102100	2568	2097	3609	2497	2406	2094	2130	1076	1173	2800	1869	1993
PCHCB_0102200	34	84	136	48	107	104	59	40	42	52	44	55
PCHCB_0102300	152	189	317	137	152	177	146	68	95	158	98	139
PCHCB_0102400	1459	1301	2428	1560	1507	1367	1470	644	681	1448	1001	1203
PCHCB_0102500	1271	1137	2314	1059	1243	1172	1318	567	817	1212	833	1089
PCHCB_0102600	1354	1347	2514	1346	1534	1384	1499	1037	1059	2093	1282	1717
PCHCB_0102700	521	483	915	421	625	563	448	360	445	786	435	577
PCHCB_0102800	738	842	1609	701	1186	1100	837	521	611	1200	634	892
PCHCB_0102900	738	719	1452	731	1026	884	722	334	574	941	548	626
PCHCB_0103000	1449	1386	2621	1434	1460	1347	1829	1179	1178	2822	1545	2055
PCHCB_0103100	103	123	135	59	158	184	50	11	16	18	22	21
PCHCB_0103200	369	331	680	319	416	437	330	196	357	455	298	317
PCHCB_0103300	2240	1771	2046	1995	1160	1215	3081	639	440	545	969	1162
PCHCB_0103400	21	26	42	22	26	41	11	5	9	8	8	11
PCHCB_0103500	430	419	848	310	615	526	422	185	428	529	305	330
PCHCB_0103600	5793	5508	4378	5297	4014	5132	20460	5375	3100	3328	4949	7697
PCHCB_0103700	44	68	170	70	112	84	69	79	96	103	27	152
PCHCB_0103800	643	535	1431	556	767	679	616	344	496	1086	593	564
PCHCB_0103900	40	116	72	37	49	76	32	31	21	40	21	37
PCHCB_0104000	4482	3759	8036	4340	5170	4159	2636	1193	1509	3191	2237	2364
PCHCB_0104100	985	983	1910	983	1098	959	1056	924	815	1938	915	1432
PCHCB_0104200	139	150	360	147	290	225	123	67	162	155	99	141
PCHCB_0104300	62	77	186	57	107	98	55	66	100	164	92	164
PCHCB_0104400	298	240	582	182	329	321	303	251	330	578	308	471
PCHCB_0104500	4200	3621	5710	4073	3729	3361	4655	2048	1565	4288	3075	3571
PCHCB_0104600	843	790	1143	766	780	880	1236	613	468	1249	668	1028
PCHCB_0104700	885	943	1133	842	723	755	1183	696	436	1045	706	980
PCHCB_0104800	187	184	345	189	163	211	140	108	83	251	152	128
PCHCB_0104900	574	478	1005	499	470	487	480	206	343	744	493	519
PCHCB_0105000	66	152	168	97	73	119	26	14	5	8	10	30
PCHCB_0105100	19	69	40	34	33	54	23	31	12	14	17	21
PCHCB_0105200	878	627	1504	706	853	686	637	378	591	1297	639	782
PCHCB_0105300	42	87	79	39	55	120	53	28	34	62	43	35
PCHCB_0105400	960	1219	1981	899	1900	1579	1140	476	656	926	580	790
PCHCB_0105500	925	790	1932	713	989	837	660	475	796	1224	743	947
PCHCB_0105600	358	397	579	409	372	413	557	356	283	654	349	598
PCHCB_0105700	29	151	67	54	48	88	53	54	5	17	13	37
PCHCB_0105800	624	667	1258	540	866	707	553	333	542	979	564	636
PCHCB_0105900	2960	2463	4648	2590	3605	2978	2080	1285	1814	3511	1929	2585
PCHCB_0106000	12872	10912	20471	12433	12122	9436	9621	5078	5653	12239	8979	8838
PCHCB_0106100	246	246	795	212	433	392	217	171	408	455	184	281
PCHCB_0106200	1008	832	1813	770	1142	828	784	568	503	1501	764	939
PCHCB_0106300	13	10	15	7	13	19	4	0	0	1	1	1
PCHCB_0106400	120	197	281	109	192	187	127	107	155	234	149	150
PCHCB_0106500	16	26	32	21	34	36	22	27	47	60	25	52
PCHCB_0106600	1696	1619	2849	1724	1870	1855	1916	1281	1118	2869	1481	1942
PCHCB_0106700	223	265	520	226	289	251	200	152	269	438	260	290
PCHCB_0106800	47	119	141	90	83	122	37	53	17	57	25	50
PCHCB_0106900	13693	10519	13433	13016	8945	9968	18634	6865	5771	13303	10246	12419
PCHCB_0107000	121	137	199	106	174	156	109	80	120	136	87	166
PCHCB_0107100	320	325	724	253	446	361	243	201	304	422	238	319
PCHCB_0107200	96	115	225	98	138	161	83	94	135	219	90	145
PCHCB_0107300	628	539	1250	502	665	524	406	240	347	692	408	463
PCHCB_0107400	78	62	174	80	123	71	51	71	83	166	58	90
PCHCB_0107500	438	500	1005	439	847	670	406	265	527	692	372	412
PCHCB_0107550	572	551	1112	605	643	523	610	262	504	1044	566	699
PCHCB_0107600	347	346	507	360	351	369	441	305	219	522	318	437
PCHCB_0107700	2569	2681	5342	2282	2888	2643	2350	2211	2394	5268	2511	3833
PCHCB_0107800	26	37	53	25	20	39	30	27	16	44	19	43
PCHCB_0107900	2107	2192	5150	1707	3468	2886	1764	1542	2388	3276	1706	2427
PCHCB_0108000	14761	14458	25629	13496	18665	16627	14336	10652	10697	26735	12115	16868
PCHCB_0108100	987	885	1502	878	944	914	847	468	713	1357	672	898
PCHCB_0108200	26342	17812	32268	25624	20099	19780	24235	7380	8920	20992	15464	15542
PCHCB_0108300	588	540	1022	459	744	715	676	489	551	1074	477	780
PCHCB_0108400	114	140	268	83	251	168	120	59	130	189	95	171
PCHCB_0108500	1091	989	1388	1089	886	825	1207	471	468	852	726	917
PCHCB_0108600	92	129	279	91	281	231	104	55	129	99	58	118
PCHCB_0108700	68	64	97	45	58	66	43	36	41	65	34	39
PCHCB_0108800	980	1220	1777	893	1647	1603	2047	638	685	799	626	1027
PCHCB_0108900	748	939	726	654	634	846	3037	1125	481	580	562	1327
PCHCB_0109000	589	506	926	440	584	538	559	329	445	988	544	692
PCHCB_0109100	535	616	971	547	531	522	561	315	359	786	401	579
PCHCB_0109200	668	684	1364	676	645	562	683	275	411	749	503	522
PCHCB_0109300	1498	1278	2092	1367	1256	1040	1328	600	578	1244	771	1147
PCHCB_0109400	57403	54778	120092	61907	55902	51734	40635	19611	42980	56851	38663	39121
PCHCB_0109500	454	546	823	467	499	490	649	441	425	932	448	710
PCHCB_0109600	1073	1104	2374	1205	1295	1107	985	569	714	2088	1014	1009
PCHCB_0109700	8151	7164	12987	7630	7941	6940	6405	4083	4412	9931	5983	7190
PCHCB_0109800	4444	3331	6436	4141	3819	3661	3495	1617	1709	4358	2527	3169
PCHCB_0109900	421	497	524	322	441	443	1482	551	388	476	390	748
PCHCB_0110000	1036	795	1293	909	609	670	1351	446	327	938	582	710
PCHCB_0110100	713	622	1252	546	717	650	731	400	509	1055	540	656
PCHCB_0110200	2742	2538	3738	2726	2031	2175	2807	1731	1380	3483	1979	2953
PCHCB_0110300	2507	2206	3521	2414	2331	2175	2454	909	1145	2147	1690	1770
PCHCB_0110400	39	94	24	49	45	70	59	19	7	19	25	24
PCHCB_0110500	944	1073	963	947	702	987	3104	736	487	502	711	1090
PCHCB_0110600	2197	2701	5004	2269	2913	2918	2693	2269	1716	4734	2253	3474
PCHCB_0110700	26589	20780	27680	29618	15553	17314	19067	6742	5524	12763	10283	12632
PCHCB_0110800	560	536	888	494	504	469	557	416	385	847	469	668
PCHCB_0110900	241	307	381	305	173	117	467	125	84	210	180	332
PCHCB_0111000	1487	1450	2779	1237	1951	1723	1340	765	1292	2020	1179	1422
PCHCB_0111100	769	759	652	671	537	600	2017	540	257	300	438	791
PCHCB_0111200	127	112	152	89	104	110	177	83	43	165	103	130
PCHCB_0111300	52	81	147	88	112	96	161	38	105	134	77	58
PCHCB_0111400	26	119	50	39	45	75	32	29	6	29	8	25
PCHCB_0111500	118	123	254	97	185	163	101	103	127	178	100	128
PCHCB_0111600	1705	2487	1744	1527	1719	2238	8021	2495	1103	1247	1287	3248
PCHCB_0111700	1295	1271	1693	1139	1335	1384	1530	787	599	1493	799	1211
PCHCB_0111800	1278	1435	2641	1212	2266	1817	990	631	952	1431	877	1161
PCHCB_0111900	843	846	1584	696	1085	919	677	618	729	1337	701	1126
PCHCB_0112000	356	405	612	273	251	423	768	275	359	504	383	486
PCHCB_0112100	227	216	555	116	383	333	232	278	233	704	260	353
PCHCB_0112200	978	1354	1118	930	1020	1288	4531	1074	576	454	648	1391
PCHCB_0112300	742	677	1298	649	761	688	835	571	525	1302	685	1060
PCHCB_0112400	479	434	890	398	756	605	487	298	394	679	376	502
PCHCB_0112500	205	318	304	178	282	321	1099	321	206	143	169	333
PCHCB_0112600	814	807	1327	744	827	714	939	448	513	942	646	770
PCHCB_0112700	22612	16574	16742	22314	11375	14621	37411	9568	6294	7722	11730	15961
PCHCB_0112800	2009	2914	2723	1900	2571	3133	7052	1787	850	701	929	2523
PCHCB_0112900	336	306	291	221	267	307	1051	236	160	120	147	304
PCHCB_0113000	476	961	1147	396	1621	1395	743	284	186	330	214	520
PCHCB_0113100	1021	1220	1594	904	1583	1534	1965	923	732	1225	866	1337
PCHCB_0113200	4275	4406	4194	4278	2738	3248	5259	2492	1179	2383	1987	3771
PCHCB_0113300	58	29	58	54	42	28	11	11	11	12	10	5
PCHCB_0113400	436	445	827	379	596	503	371	268	223	592	272	409
PCHCB_0113500	5487	5409	5960	5931	3563	4046	4605	2237	1124	2409	1862	3354
PCHCB_0113600	242	260	318	196	481	438	252	145	87	129	75	226
PCHCB_0113800	73	247	232	86	352	354	52	45	18	64	33	106
PCHCB_0113900	40	136	129	52	209	147	28	18	3	2	5	29
PCHCB_0114000	975	2527	2109	1101	5120	4664	80	30	17	32	10	55
PCHCB_0114100	656	1264	1472	623	1894	1476	911	896	883	473	458	1017
PCHCB_0114200	951	2227	2850	1067	4540	3972	995	586	468	605	243	861
