id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6	BTCB.1	BTCB.2	BTCB.3	BTCB.4	BTCB.5	BTCB.6	MTCB.1	MTCB.2	MTCB.3	MTCB.4	MTCB.5	MTCB.6
PCC_0100100	887	395	536	1134	1543	920	335	417	825	423	1210	472	1165	992	467	1613	1828	1420	708	279	359	253	814
PCC_0100300	35	21	21	33	14	9	16	11	12	12	6	31	33	23	12	30	17	49	6	1	52	41	54
PCC_0100400	71	34	49	99	64	54	41	47	64	20	32	38	27	27	32	18	11	28	8	12	30	26	29
PCC_0100500	224	114	147	251	307	1983	495	876	2298	668	3656	32	82	60	36	125	135	1733	773	223	358	258	1145
PCC_0100600	136	51	35	106	65	101	104	47	54	43	58	36	31	33	59	24	28	40	28	17	20	37	28
PCC_0100651	22	11	1	13	11	8	4	4	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0
PCC_0100800	74	50	30	132	58	31	55	31	30	22	22	37	58	78	42	54	74	93	29	27	30	30	52
PCC_0100900	1967	1440	1190	2528	1835	973	794	537	872	603	794	749	947	1491	595	1125	1167	1463	940	696	1269	670	1242
PCC_0101000	1208	947	551	1420	830	579	671	450	654	289	484	1232	1103	1794	1214	1330	1389	1003	479	656	1699	732	1198
PCC_0101100	585	193	210	607	861	536	158	194	276	340	458	250	420	451	246	378	523	903	358	263	260	173	407
PCC_0101200	13432	10562	7144	17846	8814	8184	5976	4749	6835	4148	6192	8911	8267	11806	9117	7250	8113	8168	4092	3833	8828	5456	8318
PCC_0101300	45321	41741	17766	61362	24439	34348	24579	21828	26573	16138	22883	38624	33188	42945	39906	22996	27579	33453	15213	10400	28041	18653	30031
PCC_0101400	27169	21421	24919	42641	25978	15561	13836	10512	21552	6807	17064	19151	25347	34138	17627	36775	31310	19224	13056	12321	23802	12178	23880
PCC_0101500	1738	1252	797	2465	1118	796	797	563	841	434	595	1158	1090	1564	1180	1103	1142	1040	627	678	1642	974	1231
PCC_0101600	1728	1226	797	2311	1339	1017	1218	862	1479	538	966	1256	1180	2003	1240	1653	1307	946	550	604	1192	850	1003
PCC_0101700	442	475	292	655	250	157	236	134	289	97	155	241	263	574	220	463	355	230	240	305	467	225	374
PCC_0101800	58	34	18	57	38	19	8	11	10	12	12	25	12	28	14	19	17	26	11	17	30	13	16
PCC_0101900	1116	891	480	1547	768	607	799	543	870	359	455	837	740	1504	759	846	661	559	348	520	1008	624	663
PCC_0102000	885	721	483	1035	450	285	402	300	414	203	252	448	406	774	362	519	438	369	302	452	845	420	596
PCC_0102100	4789	2865	1567	5501	2761	2426	2713	1910	2611	1491	1844	2568	2097	3609	2497	2406	2094	2130	1076	1173	2800	1869	1993
PCC_0102200	213	108	60	279	100	23	44	21	51	6	40	34	84	136	48	107	104	59	40	42	52	44	55
PCC_0102300	210	188	142	311	170	166	116	83	187	65	125	152	189	317	137	152	177	146	68	95	158	98	139
PCC_0102400	2242	1265	784	2514	1268	1458	1138	955	1287	809	1048	1459	1301	2428	1560	1507	1367	1470	644	681	1448	1001	1203
